"","Year","MonthOfYear","DayOfMonth","HourOfDay","MinutesOfHour","Month","DayOfWeek","DayOfYear","Action","Temperature"
"162",2017,10,13,12,16,"Oct","Fri",286,"Water",NA
"163",2017,10,13,12,16,"Oct","Fri",286,"Temperature Outside",9
"164",2017,10,13,12,17,"Oct","Fri",286,"Temperature Inside",17
"165",2017,10,13,13,41,"Oct","Fri",286,"Toilet #1",NA
"166",2017,10,13,15,23,"Oct","Fri",286,"Toilet #1",NA
"167",2017,10,13,15,33,"Oct","Fri",286,"Water",NA
"168",2017,10,13,22,47,"Oct","Fri",286,"Toilet #1",NA
"169",2017,10,14,8,20,"Oct","Sat",287,"Toilet #1",NA
"170",2017,10,14,8,50,"Oct","Sat",287,"Temperature Inside",21
"171",2017,10,14,8,50,"Oct","Sat",287,"Temperature Outside",15
"172",2017,10,14,9,19,"Oct","Sat",287,"Water",NA
"173",2017,10,14,17,20,"Oct","Sat",287,"Toilet #1",NA
"174",2017,10,14,17,23,"Oct","Sat",287,"Water",NA
"175",2017,10,14,18,7,"Oct","Sat",287,"Water",NA
"176",2017,10,14,18,23,"Oct","Sat",287,"Toilet #1",NA
"177",2017,10,14,19,15,"Oct","Sat",287,"Toilet #1",NA
"178",2017,10,14,19,34,"Oct","Sat",287,"Water",NA
"179",2017,10,14,20,35,"Oct","Sat",287,"Toilet #1",NA
"180",2017,10,14,21,17,"Oct","Sat",287,"Water",NA
"181",2017,10,14,22,11,"Oct","Sat",287,"Water",NA
"182",2017,10,15,0,42,"Oct","Sun",288,"Toilet #1",NA
"183",2017,10,15,1,18,"Oct","Sun",288,"Toilet #1",NA
"184",2017,10,15,9,42,"Oct","Sun",288,"Toilet #1",NA
"185",2017,10,15,10,50,"Oct","Sun",288,"Water",NA
"186",2017,10,15,11,50,"Oct","Sun",288,"Water",NA
"187",2017,10,15,18,6,"Oct","Sun",288,"Toilet #1",NA
"188",2017,10,15,19,18,"Oct","Sun",288,"Water",NA
"189",2017,10,15,20,44,"Oct","Sun",288,"Toilet #1",NA
"190",2017,10,15,21,11,"Oct","Sun",288,"Water",NA
"191",2017,10,15,23,1,"Oct","Sun",288,"Toilet #1",NA
"192",2017,10,15,23,1,"Oct","Sun",288,"Temperature Inside",17
"193",2017,10,15,23,1,"Oct","Sun",288,"Temperature Outside",13
"194",2017,10,16,9,2,"Oct","Mon",289,"Toilet #1",NA
"195",2017,10,16,10,21,"Oct","Mon",289,"Water",NA
"196",2017,10,16,13,22,"Oct","Mon",289,"Water",NA
"197",2017,10,16,13,23,"Oct","Mon",289,"Temperature Inside",19
"198",2017,10,16,13,23,"Oct","Mon",289,"Temperature Outside",15
"199",2017,10,16,13,33,"Oct","Mon",289,"Toilet #1",NA
